Country Name,Country Code,Series,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Serbia,SRB,PISA: 15-year-olds by mathematics proficiency level (%). Level 5,LO.PISA.MAT.5,2.9116129202415,..,..,3.51568086906791,..,..,..,..,..,4.21096754595062,..
Serbia,SRB,PISA: 15-year-olds by mathematics proficiency level (%). Level 6,LO.PISA.MAT.6,0.62616053667208,..,..,1.05522035698242,..,..,..,..,..,1.01654224395303,..
Serbia,SRB,PISA: Distribution of Mathematics Scores: 10th Percentile Score,LO.PISA.MAT.P10,326.740925377785,..,..,334.68608,..,..,..,..,..,324.3712,..
Serbia,SRB,PISA: Distribution of Mathematics Scores: 25th Percentile Score,LO.PISA.MAT.P25,380.39414238978,..,..,386.32964,..,..,..,..,..,379.8747,..
Serbia,SRB,PISA: Distribution of Mathematics Scores: 50th Percentile Score,LO.PISA.MAT.P50,442.381888696287,..,..,448.859130247605,..,..,..,..,..,445.9193,..
Serbia,SRB,PISA: Distribution of Mathematics Scores: 5th Percentile Score,LO.PISA.MAT.P05,294.897959183673,..,..,306.3951,..,..,..,..,..,293.4911,..
Serbia,SRB,PISA: Distribution of Mathematics Scores: 75th Percentile Score,LO.PISA.MAT.P75,503.815282243239,..,..,508.49822,..,..,..,..,..,516.1064,..
Serbia,SRB,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",UIS.MATH.LOWERSEC,59.41726,..,..,61.0901,..,..,..,..,..,60.25027,..
Serbia,SRB,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",UIS.MATH.PRIMARY,..,..,69.72544,..,..,..,71.64543,..,..,..,..
Seychelles,SYC,"Out-of-school adolescents and youth of secondary school age, both sexes (number)",UIS.OFST.2T3.CP,2603,2622,..,..,1625,785,907,693,853,701,945
Seychelles,SYC,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,64,84,77,152,249,269,224
Seychelles,SYC,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",UIS.ROFST.2T3.CP,25.37511,25.92814,..,..,17.37558,8.53863,9.99182,7.67453,9.4193,7.65121,10.13981
Seychelles,SYC,(De Facto) Percent of teachers proficient in the subject of mathematics,SE.PRM.CONT.3,..,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,"Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",UIS.FOSGP.5T8.FNON500600700,..,..,75,100,..,..,84.44444,83.76623,84.30233,82.76644,80.14842
Seychelles,SYC,"Percentage of graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, both sexes (%)",SE.TER.GRAD.SC.ZS,..,..,6.66667,0,..,..,3.95062,3.57143,2.03488,4.30839,6.49351
Seychelles,SYC,PISA: 15-year-olds by mathematics proficiency level (%). Below Level 1,LO.PISA.MAT.0,..,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,PISA: 15-year-olds by mathematics proficiency level (%). Level 1,LO.PISA.MAT.1,..,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,PISA: 15-year-olds by mathematics proficiency level (%). Level 2,LO.PISA.MAT.2,..,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,PISA: 15-year-olds by mathematics proficiency level (%). Level 3,LO.PISA.MAT.3,..,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,PISA: 15-year-olds by mathematics proficiency level (%). Level 4,LO.PISA.MAT.4,..,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,PISA: 15-year-olds by mathematics proficiency level (%). Level 5,LO.PISA.MAT.5,..,..,..,..,..,..,..,..,..,..,..
Seychelles,SYC,PISA: 15-year-olds by mathematics proficiency level (%). Level 6,LO.PISA.MAT.6,..,..,..,..,..,..,..,..,..,..,..
